lat,lon,data_hora,satelite,estado,bioma,risco_fogo,precipitacao,temperatura,umidade,municipio,ano,mes,dia,trimestre
-8.099546765780836,-73.43444826609716,2023-03-06 07:48:20.090009001,AQUA_M-T,PA,Amazônia,0.059249626911170396,9.104417399473753,24.80952455618721,87.05766223292395,Municipio_75,2023,3,6,1
-5.587088112143661,-74.3916007869774,2023-02-04 04:23:32.781278127,NOAA-20,MT,Amazônia,0.3589387019365429,7.584024440976993,29.822233061667518,74.31437381807586,Municipio_33,2023,2,4,1
-9.810394785654577,-49.797685209368275,2023-04-01 23:20:41.044104410,NOAA-20,MA,Cerrado,0.5333192836208285,7.817417938461641,29.76725996983881,70.26098273769301,Municipio_0,2023,4,1,2
-4.708608108849647,-63.5448271031662,2023-09-20 15:39:15.715571556,NOAA-20,AP,Amazônia,0.05478862502081109,8.636272834218254,27.796370209630215,83.59012066849733,Municipio_53,2023,9,20,3
-2.2738434569391828,-50.01723994641857,2023-02-26 01:28:42.772277227,NPP-375,AC,Amazônia,0.4105269716463026,8.536149246180901,29.39528137903518,70.98260871341459,Municipio_37,2023,2,26,1
-8.84184100033597,-56.578050458178055,2023-07-19 13:33:14.959495948,AQUA_M-T,RR,Amazônia,0.5276137623278607,14.72086439340453,25.89420387487967,77.24715862564653,Municipio_52,2023,7,19,3
-1.6886342716567562,-48.91149004650393,2023-11-18 23:45:53.195319532,NOAA-20,PA,Amazônia,0.34615740040013715,22.79727171233763,25.39426440967817,81.7281528032739,Municipio_37,2023,11,18,4
-19.577180001959817,-55.62197445597185,2023-07-30 13:24:27.866786676,TERRA_M-T,RO,Amazônia,0.1676075889027972,12.714025066464261,25.219912848046008,64.70884727506042,Municipio_99,2023,7,30,3
-1.535063546691731,-65.36234479758262,2023-04-08 02:59:52.439243924,TERRA_M-T,MT,Cerrado,0.8439552078940323,15.561309231896502,27.546029743400446,73.21588957821564,Municipio_15,2023,4,8,2
-3.064048219292637,-66.23469589853866,2023-05-22 16:23:28.460846084,NOAA-20,RO,Amazônia,0.6799331184189162,6.619668182266095,29.625532407835294,50.59090134568363,Municipio_62,2023,5,22,2
-7.346453428993897,-64.63257379953907,2023-03-03 23:53:22.520252025,NOAA-20,MT,Amazônia,0.2504350761974984,3.5714053513803767,27.327563347466455,73.092054275489,Municipio_12,2023,3,3,1
